file,source
brazil_lookup_table.csv,https://en.wikipedia.org/wiki/States_of_Brazil
hx_micro_by_state.csv,https://flutrackers.com/forum/forum/emerging-diseases-other-health-threats-alphabetical-i-thru-z/zika-virus/744418-brazil-zika-virus-3-530-suspected-cases-of-microcephaly-in-21-states-46-suspicious-deaths-4-confirmed-malformation-deaths-01-12-2016
micro_by_state_01112015.csv,https://flutrackers.com/forum/forum/emerging-diseases-other-health-threats-alphabetical-i-thru-z/zika-virus/744418-brazil-zika-virus-3-530-suspected-cases-of-microcephaly-in-21-states-46-suspicious-deaths-4-confirmed-malformation-deaths-01-12-2016
